0x146950;0xEA18;DB_LIST_VIDEO_WMV_ICN
0xD8B924;0xEA19;DB_MORE_PICTURES_ICN
0x052B6E;0xEA1A;DB_OTHER_DIRECTORY_ICN
0x9E602B;0xEA1B;DB_OTHER_MM_ICN
0xE01FC0;0xEA1C;DB_PHONE_ICN
0xB7E5E5;0xEA1D;DB_POPUP_DOCUMENT_ICN
0x44BEBF;0xEA1E;DB_RINGTONES_DIRECTORY_ICN
0xFB147B;0xEA1F;DB_RINGTONES_MM_ICN
0xABCC14;0xEA20;DB_SAVED_PAGE_DIRECTORY_ICN
0x1B0D79;0xEA21;DB_SEARCH_BACKGROUND_DAY_ICN
0x3C9CFF;0xEA22;DB_SEARCH_BACKGROUND_MONTH_ICN
0xC748A0;0xEA23;DB_SEARCH_GUIDE_LEFT_ICN
0x7A3DD1;0xEA24;DB_SEARCH_GUIDE_RIGHT_ICN
0xE98A07;0xEA25;DB_SOUNDS_DIRECTORY_ICN
0xB63A50;0xEA26;DB_SOUNDS_MM_ICN
0x905782;0xEA27;DB_TAB_ALL_ICN
0xF05331;0xEA28;DB_TAB_ALL_INACTIVE_ICN
0x9121CC;0xEA29;DB_TAB_MS_ICN
0xADC0B1;0xEA2A;DB_TAB_MS_INACTIVE_ICN
0xC8A6DD;0xEA2B;DB_TAB_PHONE_ICN
0xCC04E7;0xEA2C;DB_TAB_PHONE_INACTIVE_ICN
0xE11E06;0xEA2D;DB_THEMES_DIRECTORY_ICN
0x933A12;0xEA2E;DB_THEMES_MM_ICN
0xB3266F;0xEA2F;DB_THUMB_BOOKMARK_ICN
0x76606F;0xEA30;DB_THUMB_CAMERA_CONTENT_ICN
0x02973E;0xEA31;DB_THUMB_CAMERA_DIR_ICN
0x0CEA1C;0xEA32;DB_THUMB_FLASH_ICN
0x9E7626;0xEA33;DB_THUMB_FOLDER_ICN
0xAF37BD;0xEA34;DB_THUMB_IAPPLI_ICN
0x8AA165;0xEA35;DB_THUMB_JAVA_ICN
0x1C33E8;0xEA36;DB_THUMB_NEW_FOLDER_ICN
0x0C3CC6;0xEA37;DB_POPUP_OTHER_ICN
0xF92D85;0xEA38;DB_THUMB_PICTURE_CORRUPT_ICN
0xB0A903;0xEA39;DB_POPUP_PICTURE_DRM_ICN
0xAA3222;0xEA3A;DB_THUMB_PICTURE_DRM_LOCKED_ICN
0x207FD5;0xEA3B;DB_POPUP_PICTURE_ICN
0x956D13;0xEA3C;DB_THUMB_PICTURE_M3G_ICN
0x88FE8D;0xEA3D;DB_POPUP_SOUND_3GP_ICN
0x886F0F;0xEA3E;DB_POPUP_SOUND_AMR_ICN
0xA90FDC;0xEA3F;DB_THUMB_SOUND_ASF_ICN
0x88629F;0xEA40;DB_POPUP_SOUND_AWB_ICN
0xDDAC78;0xEA41;DB_POPUP_SOUND_EMELODY_ICN
0xDC6C78;0xEA42;DB_POPUP_SOUND_IMELODY_ICN
0x89AB9E;0xEA43;DB_POPUP_SOUND_M4A_ICN
0xEAF14B;0xEA44;DB_THUMB_SOUND_MIDI_ICN
0x89ACD7;0xEA45;DB_POPUP_SOUND_MP3_ICN
0x89ACD0;0xEA46;DB_POPUP_SOUND_MP4_ICN
0xDF308C;0xEA47;DB_THUMB_SOUND_REAL_ICN
0x897EF7;0xEA48;DB_POPUP_SOUND_RHZ_ICN
0x9A215E;0xEA49;DB_POPUP_SOUND_SMAF_ICN
0x8AC80B;0xEA4A;DB_POPUP_SOUND_WAV_ICN
0xABAD59;0xEA4B;DB_THUMB_SOUND_WMA_ICN
0x8ADF1B;0xEA4C;DB_POPUP_SOUND_XMF_ICN
0x83D55F;0xEA4D;DB_THUMB_STREAMING_REAL_ICN
0x71B851;0xEA4E;DB_THUMB_SVG_ICN
0xB2EEF2;0xEA4F;DB_THUMB_TEXT_ICN
0x3DCAD6;0xEA50;DB_POPUP_THEME_ICN
0x49F7A7;0xEA51;DB_THUMB_WEB_PAGES_ICN
0x80398A;0xEA52;DB_THUMB_VIDEO_ASF_ICN
0xEDBEC3;0xEA53;DB_THUMB_VIDEO_CORRUPT_ICN
0x804853;0xEA54;DB_THUMB_VIDEO_DRM_ICN
0xB2606F;0xEA55;DB_THUMB_VIDEO_DRM_LOCKED_ICN
0x9BF315;0xEA56;DB_POPUP_VIDEO_FILE_ICN
0x92A506;0xEA57;DB_THUMB_VIDEO_REAL_ICN
0x829B1A;0xEA58;DB_THUMB_VIDEO_WMV_ICN
0x7CEA11;0xEA59;DB_TITLE_ALL_ICN
0xDE933A;0xEA5A;DB_TITLE_MS_ICN
0x119816;0xEA5B;DB_TITLE_PHONE_ICN
0x9985B7;0xEA5C;DB_TLV_VIEW_ICN
0x974D24;0xEA5D;DB_WEB_PAGES_DIRECTORY_ICN
0x07F28F;0xEA5E;DB_WEB_PAGES_MM_ICN
0x1CA3D0;0xEA5F;DB_VIDEO_STRIP_LARGE_ICN
0xB12EDE;0xEA60;DB_VIDEOS_DIRECTORY_ICN
0x9F0C06;0xEA61;DB_VIDEOS_MM_ICN
0x5952D3;0xEA62;DB_ZOOM_IN_ICN
0x8DF078;0xEA63;DB_ZOOM_OUT_ICN
0xAF9008;0xEA64;DESKTOP_ALARMS_ICN
0x7CD23F;0xEA65;DESKTOP_ALARMS_SELECTED_ICN
0xE02A57;0xEA66;DESKTOP_CALLS_ICN
0x9245EC;0xEA67;DESKTOP_CALLS_SELECTED_ICN
0xDEC2C1;0xEA68;DESKTOP_CAMERA_ICN
0x286063;0xEA69;DESKTOP_CAMERA_SELECTED_ICN
0xB8EDD8;0xEA6A;DESKTOP_ENTERTAINMENT_ICN
0xA3A63A;0xEA6B;DESKTOP_ENTERTAINMENT_SELECTED_ICN
0xE01C8B;0xEA6C;DESKTOP_GAMES_ICN
0x9FF2EC;0xEA6D;DESKTOP_GAMES_SELECTED_ICN
0xC97F1E;0xEA6E;DESKTOP_HIGHLIGHT_ICN
0xD374F9;0xEA6F;DESKTOP_IMODE_DOJA_ICN
0x45EE60;0xEA70;DESKTOP_IMODE_DOJA_SELECTED_ICN
0x90FC5B;0xEA71;DESKTOP_IMODE_ICN
0xA7C6F0;0xEA72;DESKTOP_IMODE_SELECTED_ICN
0xB19DCB;0xEA73;DESKTOP_MESSAGING_ICN
0xFFA2F8;0xEA74;DESKTOP_MESSAGING_SELECTED_ICN
0x9807E7;0xEA75;DESKTOP_OPERATOR_ICN
0x9929F2;0xEA76;DESKTOP_OPERATOR_SELECTED_ICN
0xEE4E13;0xEA77;DESKTOP_ORGANIZER_ICN
0x0B54EF;0xEA78;DESKTOP_ORGANIZER_SELECTED_ICN
